title,company,location,job_type,salary_min,salary_max,currency,salary_disclosed,posted_date,url,source,scraped_at
Internal Auditor,Grand Towers Limited,,"Grand Towers Limited, a dynamic investment firm with a diverse investment portfolio spanning fintech, hospitality, real estate, communication, and financial information sectors. Grand Towers Limited is unwavering in its commitment to driving sustainable growth and maximizing stakeholder value. We adhere to a vision that promotes innovation, upholds integrity, showcases adaptability to market changes, and empathizes with the businesses we partner with, setting us apart in the competitive private ",,,,False,0001-05-23,https://www.myjobmag.com/job/internal-auditor-grand-towers-limited-8,myjobmag,2026-05-24T21:41:53.665286
Lead AI Engineer - Financial Inclusion,M-KOPA,,M-KOPA is a fast-growing FinTech company offering millions of underbanked customers across Africa access to life-enhancing products and services. From our roots as the pioneer in pay-as-you-go PayGo s...,,,,False,0001-05-23,https://www.myjobmag.com/job/lead-ai-engineer-financial-inclusion-m-kopa,myjobmag,2026-05-24T21:41:53.665286
Software Delivery Manager,Cavista,,"At Cavista, our mission is to empower organizations with the world’s best technology solutions. We ensure the highest level of client satisfaction through a global network of innovation, and our software solutions are custom-built to accommodate your domain and requirements. Through world-class consultation, innovative IT solutions and personalized client services, Cavista increases operational efficiency for organizations of allÂ sizes.",,,,False,0001-05-23,https://www.myjobmag.com/job/software-delivery-manager-cavista-4,myjobmag,2026-05-24T21:41:53.665286
Chief Operating Officer,Stellas Digital Bank,,Stellas Digital Bank is a wholly indigenous bank established to provide global standard financial services to its discerning customers across Nigeria. Stellas is a digital challenger bank founded on t...,,,,False,0001-05-23,https://www.myjobmag.com/job/chief-operating-officer-stellas-digital-bank,myjobmag,2026-05-24T21:41:53.665286
Program Officer,Jhpiego - John Hopkins University,,"""What are we aiming at?”

That’s the question our first president, Daniel Coit Gilman, asked at his inauguration in 1876. What is this place all about, exactly? His answer:

    ""The e...",,,,False,0001-05-23,https://www.myjobmag.com/job/program-officer-jhpiego-16,myjobmag,2026-05-24T21:41:53.665286
Talent Acquisition Specialist,Glocient Hospitality,,Glocient Hospitality is a top-notch hospitality management company currently focused on transforming the Ikogosi Warm Springs and resort in Ekiti State into a world-class vacation resort. We are clear...,,,,False,0001-05-23,https://www.myjobmag.com/job/talent-acquisition-specialist-glocient-hospitality-4,myjobmag,2026-05-24T21:41:53.665286
Executive Assistant to the CEO,Malala Fund,,"Malala Yousafzai is a Pakistani student and education activist who began speaking out for girls’ education at the age of 11. After surviving an assassination attempt by the Taliban at 15, she co...",,,,False,0001-05-23,https://www.myjobmag.com/job/executive-assistant-to-the-ceo-malala-fund,myjobmag,2026-05-24T21:41:53.665286
Sales Executive,ISN Medical,,We provide healthcare practitioners and patients peace of mind through innovative medical diagnostics solutions in Nigeria and across West Africa.,,,,False,0001-05-23,https://www.myjobmag.com/job/sales-executive-isn-medical-2,myjobmag,2026-05-24T21:41:53.665286
In-House Medical Sales Representative,Tyonex Nigeria Limited,,"Tyonex Nigeria Ltd. is a group of registered companies, with operational base throughout Nigeria and corporate head office based in Lagos, Nigeria.

Established since September 1997, Tyonex is a mem...",,,,False,0001-05-23,https://www.myjobmag.com/job/in-house-medical-sales-representative-tyonex-nigeria-limited-2,myjobmag,2026-05-24T21:41:53.665286
"AGM, Sales",Fact Base Consulting,,"We undertake head-hunting or mass recruitment activities like testing, shortlisting interview and recommendation of different cadres of staff from Management Trainees to Executives. Please click here...",,,,False,0001-05-23,https://www.myjobmag.com/job/agm-sales-fact-base-consulting,myjobmag,2026-05-24T21:41:53.665286
Digital Marketing Manager,Zinance Limited,,Zinance Limited is a dynamic Information Technology and Consulting firm committed to delivering innovative digital solutions and strategic advisory services to businesses of all sizes. We combine tech...,,,,False,0001-05-23,https://www.myjobmag.com/job/digital-marketing-manager-zinance-limited,myjobmag,2026-05-24T21:41:53.665286
Software Engineer (Java_Spring Boot),Quidax,,"Quidax is the simplest and most secure way to buy and sell bitcoin, ethereum, ripple and other altcoins.",,,,False,0001-05-23,https://www.myjobmag.com/job/software-engineer-java-spring-boot-quidax-1,myjobmag,2026-05-24T21:41:53.665286
Sales Girl,Recore Limited,,"Recore Limited is a wholly Nigerian company incorporated in December 2003.
We are a full fledged human resources firm incorporated in Nigeria to provide second to non-human capital development servic...",,,,False,0001-05-23,https://www.myjobmag.com/job/sales-girl-recore-limited-1,myjobmag,2026-05-24T21:41:53.665286
Administrative Officer,HR-on-Wheels,,HR-on-Wheels is the premier one-stop shop for all HR needs of your startup and SMEs. We understand the importance of laying the right foundation for your people strategy and thus tailored our offering...,,,,False,0001-05-23,https://www.myjobmag.com/job/administrative-officer-hr-on-wheels,myjobmag,2026-05-24T21:41:53.665286
Admin Officer,Ascentech Services Limited,,Ascentech Services Ltd acts as a gateway to provide a wide range of recruitment and selection services to companies. We are a dedicated team of professional consultants offering top-of-the-line executive recruitment and selection services. We cater for the needs of a range of professionals seeking employment and work together to create effective solutions using our networks and strong client base.,,,,False,0001-05-23,https://www.myjobmag.com/job/admin-officer-ascentech-services-limited-10,myjobmag,2026-05-24T21:41:53.665286
Assistant Agronomist (Oil Palm),Bridgemead Consulting,,Bridgemead Consulting is a holistic and innovative business consultancy that believes in connecting businesses with the right individuals.,,,,False,0001-05-23,https://www.myjobmag.com/job/assistant-agronomist-oil-palm-bridgemead-consulting,myjobmag,2026-05-24T21:41:53.665286
"Specialist, Marketing and Sales",Nile University of Nigeria,,"Founded in 2009, Nile University is a private multidisciplinary university based in Abuja, and a proud member of Honoris United Universities since 2020. Nile University currently has over 40 undergrad...",,,,False,0001-05-23,https://www.myjobmag.com/job/specialist-marketing-and-sales-nile-university-of-nigeria-1,myjobmag,2026-05-24T21:41:53.665286
Digital Marketing Lead,Taeillo,,"Taeillo is a Nigerian Furniture and Lifestyle Brand that designs and manufactures Furniture by harnessing traditional forms, Materials, Local resources in Africa with both local and modern Technology...",,,,False,0001-05-23,https://www.myjobmag.com/job/digital-marketing-lead-taeillo-1,myjobmag,2026-05-24T21:41:53.665286
Digital Content Presenter (NYSC),Seedbuilders Innovation Hub,,"Seedbuilders is a leading Information, Communication, and Technology Company, Technology and Innovation Ecosystem Contributor, Coworking Partner, leading digital skills and ICT training provider, Huma...",,,,False,0001-05-23,https://www.myjobmag.com/job/digital-content-presenter-nysc-seedbuilders-innovation-hub,myjobmag,2026-05-24T21:41:53.665286
Accounts Officer,LVTOPSUN,,"Lvtopsun is one of the leading manufacturing company of solar products in nigeria, products like inverter, solar battery etc.",,,,False,0001-05-23,https://www.myjobmag.com/job/accounts-officer-lvtopsun-new-energy-company-limited-1,myjobmag,2026-05-24T21:41:53.665286
Administrator,Elite Logistics and Development services,,Elite Logistics & Development Services Limited is an indigenous company with its operating office in Lagos and duly registered under the companies and allied matters ACT 1990 with RC1195367. ELADS Lim...,,,,False,0001-05-23,https://www.myjobmag.com/job/administrator-elite-logistics-development-services-limited-1,myjobmag,2026-05-24T21:41:53.665286
Jobs,International Facilities Services Limited - IFS,,"IFS is an international facilities management company operating global standards to wide range of clients in Nigeria, Ghana, South Africa and the Middle East.

Our expert staff members with many yea...",,,,False,0001-05-23,https://www.myjobmag.com/jobs/jobs-at-international-facilities-services-limited-ifs-7,myjobmag,2026-05-24T21:41:53.665286
HSE Officer,International Facilities Services Limited - IFS,,"IFS is an international facilities management company operating global standards to wide range of clients in Nigeria, Ghana, South Africa and the Middle East.

Our expert staff members with many yea...",,,,False,0001-05-22,https://www.myjobmag.com/job/hse-officer-international-facilities-services-limited-2,myjobmag,2026-05-24T21:41:53.665286
